SDate,PFIZER_High,PFIZER_Low,PFIZER_Open,PFIZER_Close,PFIZER_Volume,PFIZER_Adj Close,PFIZER_VARIATION,ASTRAZENECA_High,ASTRAZENECA_Low,ASTRAZENECA_Open,ASTRAZENECA_Close, ASTRAZENECA_Volume ,ASTRAZENECA_Adj Close,ASTRAZENECA_VARIATION,BIONTECH_High,BIONTECH_Low,BIONTECH_Open,BIONTECH_Close,BIONTECH_Volume,BIONTECH_Adj Close,BIONTECH_VARIATION,MODERNA_High,MODERNA_Low,MODERNA_Open,MODERNA_Close,MODERNA_Volume,MODERNA_Adj Close,MODERNA_VARIATION,NOVAVAX_High,NOVAVAX_Low,NOVAVAX_Open,NOVAVAX_Close,NOVAVAX_Volume,NOVAVAX_Adj Close,NOVAVAX_VARIATION
02/03/2020,33.15939331,31.73624229,32.17267609,33.09297943,42034469,32.11896896,0.920303345,45.86999893,44.34999847,44.45000076,45.86999893," 6,134,400.00 ",45.50620651,1.419998169,36.59999847,34,35.00999832,36.59999847,185100,36.59999847,1.590000153,30.75,25.20999908,27,29.87999916,33084000,29.87999916,2.879999161,14,11.48999977,13.96000004,12.02000046,14261700,12.02000046,-1.93999958
03/03/2020,33.9468689,32.12523651,33.37760925,32.54269409,46174475,31.58487701,-0.834915161,46.65000153,45.11999893,46.47999954,45.52000046," 4,247,800.00 ",45.15898514,-0.959999084,40.9980011,36.59999847,36.65000153,38.47999954,297900,38.47999954,1.829998016,28.60000038,26.60000038,27.80400085,27.90999985,17599100,27.90999985,0.105998993,11.10999966,9.920000076,10.56000042,10.77999973,9957300,10.77999973,0.219999313
04/03/2020,34.59202957,33.15939331,33.30170822,34.53510284,38712155,33.51865005,1.233394623,48.68999863,46.74000168,47.27999878,48.59999847," 3,337,400.00 ",48.21455383,1.319999695,39.29999924,38,39,39.18999863,127100,39.18999863,0.189998627,28.71999931,26.79999924,27.98999977,27.48999977,11817700,27.48999977,-0.5,12.35000038,10.10000038,10.11999989,11.31999969,10977400,11.31999969,1.199999809
05/03/2020,34.32637787,33.35863495,33.82352829,33.64326477,35096303,32.65305328,-0.180263519,48.65999985,47.54000092,47.58000183,48.38000107," 5,756,900.00 ",47.99630356,0.799999237,38.06000137,35.63999939,37.70999908,37.11999893,77000,37.11999893,-0.590000153,28.95000076,26.53499985,27.48999977,28.01000023,14670000,28.01000023,0.520000458,13.39999962,11.71000004,11.85000038,12.86999989,14057100,12.86999989,1.019999504
06/03/2020,33.3681221,32.37191772,32.92219925,33.22580719,40931036,32.24788284,0.303607941,47.63999939,46.72999954,47.25,47.52000046," 3,439,100.00 ",47.14312363,0.270000458,40.94599915,35.61000061,37.61999893,38.09000015,279200,38.09000015,0.470001221,29.79999924,27.67000008,27.97999954,29.61000061,21097500,29.61000061,1.630001068,14.25,11.57999992,13.82999992,12.47999954,13250800,12.47999954,-1.350000381
09/03/2020,32.9127121,31.46110153,31.74573135,32.03036118,43183856,31.0876255,0.284629822,46.65000153,44.99000168,45.54000092,45.22999954," 5,031,200.00 ",44.87128448,-0.310001373,35.90000153,32.40000153,35.15000153,33.47999954,190200,33.47999954,-1.670001984,30,24.15999985,30,24.29000092,14124100,24.29000092,-5.709999084,13,9.600000381,12.51000023,10.02000046,8328800,10.02000046,-2.489999771
10/03/2020,32.88425064,31.31878662,32.79886246,32.81783676,40548329,31.8519249,0.018974304,46.95000076,44.97999954,45.84999847,46.90000153," 9,144,800.00 ",46.52804184,1.050003052,35.83000183,31.45199966,35.08000183,33.95999908,327500,33.95999908,-1.120002747,25.94000053,21.28000069,25.70999908,22.34000015,13019500,22.34000015,-3.369998932,12.47999954,10.35000038,12.47000027,10.64999962,12365400,10.64999962,-1.820000648
11/03/2020,32.14421463,30.03795052,32.03036118,30.52182198,65350213,29.62348557,-1.5085392,45.81000137,44.09999847,45.59999847,44.58000183," 5,829,400.00 ",44.22644043,-1.019996643,34.09500122,31,33.40000153,32.16999817,119000,32.16999817,-1.230003357,25.74900055,22.52400017,22.54000092,23.61000061,14809600,23.61000061,1.069999695,10.80000019,9.319999695,10.51000023,10.51000023,9052100,10.51000023,0
12/03/2020,30.36053085,28.46299744,28.91840553,28.48197365,62731445,27.64367676,-0.436431885,41.58000183,39.47000122,41.29999924,40.75999832," 5,412,900.00 ",40.43673325,-0.540000916,30.39500046,28,28.98999977,28.54999924,184100,28.54999924,-0.440000534,24.28000069,21.89999962,22.89999962,22.29999924,11305300,22.29999924,-0.600000381,10.47000027,9.149999619,9.510000229,9.289999962,5488400,9.289999962,-0.220000267
13/03/2020,31.19544601,28.68121338,29.66793251,31.0341568,60553038,30.12074089,1.366224289,42.45999908,38.58000183,41.56999969,42.27999878," 11,898,000.00 ",41.94467926,0.709999084,31.97999954,29.19000053,30,30.93000031,197600,30.93000031,0.930000305,23.46999931,19.30999947,23,21.29999924,11853100,21.29999924,-1.700000763,9.729999542,7.519999981,9.5,8.409999847,6115400,8.409999847,-1.090000153
16/03/2020,30.62618637,28.13092995,28.40607262,28.63377571,50995050,27.791008,0.227703094,38.88999939,36.15000153,36.81000137,37.79000092," 7,346,800.00 ",37.4902916,0.979999542,52.79999924,38,49.36000061,40,1935900,40,-9.36000061,27.79999924,22.21999931,23.76000023,26.48999977,39850800,26.48999977,2.729999542,8.140000343,6.769999981,7.769999981,6.909999847,4779400,6.909999847,-0.860000134
17/03/2020,30.97723007,29.02276993,30.0189743,30.51233482,54220606,29.6142807,0.493360519,41.50999832,38.95000076,39.25,40.93000031," 5,411,700.00 ",40.60538864,1.680000305,76,56.00999832,65,66.59999847,2939800,66.59999847,1.599998474,32.70000076,27.31500053,29.36000061,28.18000031,44484100,28.18000031,-1.180000305,10.18999958,7.849999905,8,9.5,11624000,9.5,1.5
18/03/2020,30.93927956,28.75711632,29.1935482,30.7020874,43884976,29.79844475,1.5085392,39.91999817,38.22999954,38.22999954,39.36000061," 4,909,200.00 ",39.04784012,1.130001068,105,82.20899963,90.38999939,92,3027000,92,1.61000061,32.54000092,26.54999924,27.12999916,31.57999992,28702300,31.57999992,4.450000763,11.47999954,8.800000191,8.850000381,10.64999962,11034100,10.64999962,1.799999237
19/03/2020,30.59772301,28.4724865,30.56925964,28.86148071,59820929,28.01201248,-1.707778931,40.88999939,38.06999969,38.90999985,40.13000107," 9,234,700.00 ",39.81173325,1.220001221,83.32900238,59,83.19999695,59.29999924,1598500,59.29999924,-23.89999771,34.97999954,25.19000053,32.77999878,28.27000046,36952800,28.27000046,-4.509998322,13.19999981,10.80000019,10.97999954,11.57999992,11901400,11.57999992,0.600000381
20/03/2020,29.09867287,27.42884254,28.72865295,27.52371979,52488989,26.71362495,-1.204933167,41.97999954,39.36000061,41.20000076,39.41999817," 10,050,700.00 ",39.10736084,-1.780002594,55,43.65999985,54.95000076,46.5,1174000,46.5,-8.450000763,30.22999954,26.20000076,29.25,28.20000076,16522400,28.20000076,-1.049999237,11.89999962,9.56000042,11.80000019,10.35000038,5726000,10.35000038,-1.449999809
23/03/2020,28.06451607,26.45161247,27.28652763,27.03036118,52853041,26.23478699,-0.256166458,40.11000061,38.13999939,39.36000061,38.77999878," 5,674,000.00 ",38.47243881,-0.580001831,59.97999954,50.31000137,59,51.31000137,994100,51.31000137,-7.689998627,29.80999947,26.25,28.70999908,26.56999969,11080800,26.56999969,-2.13999939,11.17000008,10.02999973,10.71000004,10.76000023,3064600,10.76000023,0.050000191
24/03/2020,28.5104351,27.41935539,27.99810219,28.17836761,44466784,27.34900665,0.180265427,41,39.36000061,40.34999847,40.88999939," 6,129,400.00 ",40.56570435,0.540000916,58.99000168,48.02000046,58.90000153,53.63999939,579700,53.63999939,-5.260002136,27.25,24.36000061,27.09000015,25.81999969,12550500,25.81999969,-1.270000458,14.93000031,12.18000031,14.35000038,12.77000046,18556500,12.77000046,-1.579999924
